       Start Station Id  End Station Id  Count
12069              7256          7256.0     32
4540               7061          7061.0     25
2060               7028          7028.0     23
9                  7000          7033.0     21
15494              7361          7361.0     21
17300              7432          7333.0     21
12750              7268          7028.0     20
4442               7059          7033.0     19
13249              7276          7276.0     18
19515              7534          7534.0     18
8801               7164          7164.0     17
2097               7028          7268.0     17
2528               7033          7012.0     16
11440              7245          7245.0     16
5106               7074          7074.0     16
11678              7248          7248.0     15
11966              7253          7253.0     15
5721               7089          7089.0     15
1046               7016          7016.0     15
16651              7409          7089.0     15
19433              7533          7076.0     14
21678              7682          7160.0     14
12292              7260          7033.0     14
2945               7038          7100.0     14
17314              7432          7462.0     14
5720               7089          7078.0     13
15403              7356          7575.0     12
14583              7324          7015.0     12
16208              7388          7350.0     12
1483               7022          7022.0     12
517                7006          7762.0     12
12646              7264          7281.0     12
4799               7065          7796.0     12
8798               7164          7121.0     12
2140               7029          7029.0     11
12138              7257          7038.0     11
15266              7350          7388.0     11
2540               7033          7033.0     11
18028              7462          7432.0     11
14075              7298          7366.0     11
2557               7033          7059.0     11
119                7001          7115.0     10
23000              7721          7462.0     10
16339              7391          7065.0     10
12316              7260          7102.0     10
22873              7720          7216.0     10
18756              7502          7006.0     10
12951              7271          7246.0     10
2729               7034          7311.0     10
5228               7076          7203.0     10
5210               7076          7073.0     10
14865              7333          7505.0     10
24417              7817          7033.0     10
6258               7102          7033.0     10
2274               7030          7058.0     10
20249              7556          7753.0     10
10626              7216          7720.0     10
2248               7030          7006.0     10
17652              7452          7034.0     10
5056               7073          7076.0     10
3171               7041          7045.0      9
4188               7054          7033.0      9
3738               7047          7033.0      9
16403              7391          7506.0      9
7407               7123          7817.0      9
4197               7054          7070.0      9
2059               7028          7027.0      9
12536              7263          7199.0      9
7269               7121          7164.0      9
18467              7475          7462.0      9
14459              7321          7047.0      9
20430              7570          7796.0      9
1212               7018          7018.0      9
5774               7089          7432.0      9
14050              7298          7207.0      9
14151              7299          7108.0      9
24101              7796          7065.0      9
11207              7239          7199.0      9
23792              7782          7783.0      9
1928               7027          7006.0      9
11904              7252          7667.0      9
13067              7272          7418.0      9
23795              7783          7782.0      9
16234              7389          7047.0      9
15540              7363          7361.0      9
17971              7462          7102.0      9
16346              7391          7100.0      9
9138               7176          7015.0      9
10111              7204          7204.0      9
20636              7586          7585.0      9
1407               7021          7006.0      9
25213              7912          7176.0      9
1701               7024          7089.0      9
22630              7716          7716.0      9
3250               7042          7001.0      9
